id,main_speaker,main_speaker_description
2255,Kiah Williams,"SIRUM (Supporting Initiatives to Redistribute Unused Medicine) is a non-profit social enterprise started by Stanford University students to decrease the amount of medicine going to waste in the U.S. by redistributing unused, unexpired drugs to safety-net clinics."
2256,Kid Cudi,"Scott Ramon Seguro Mescudi (born January 30, 1984), better known by his stage name Kid Cudi ( KUDD-ee; often stylized as KiD CuDi), is an American rapper, singer, songwriter, record producer, actor, and record executive."
2257,Kid President,"Robby Novak (born January 26, 2004) is an American media personality best known for portraying Kid President on YouTube and on television."
2258,Kim Gorgens,This is a list of guests and topics of the RadioWest radio show and podcast during 2012.
2259,Kim Preshoff,Population growth is the increase in the number of individuals in a population.
2260,Kimberley Motley,"Kimberley Chongyon Motley is an international human rights and civil rights attorney from Milwaukee, Wisconsin."
2261,Kimberly Noble,"Kimberly Beck (born January 9, 1956) is a former American actress and model."
2262,Kimberlé Crenshaw,"Kimberlé Williams Crenshaw (; born 1959) is an American lawyer, civil rights advocate, philosopher, and a leading scholar of critical race theory who developed the theory of intersectionality."
2263,Kings Floyd,
2264,Kio Stark,Autodidacticism (also autodidactism) or self-education (also self-learning and self-teaching) is education without the guidance of masters  (such as teachers and professors) or institutions (such as schools).
2265,Kiran Bedi,
2266,Kiran Mazumdar-Shaw,Kiran Mazumdar-Shaw (born 23 March 1953) is an Indian billionaire entrepreneur.
2267,Kiran Sethi,"Kiran Sethi is a police officer in Delhi, India, known for organizing women's self-defense and police services training camps throughout India, for which she was honored by Union Home Minister Rajnath Singh in 2015."
2268,Kirby Ferguson,"Kirby Ferguson is a Canadian filmmaker, writer, and speaker whose work covers creative works and popular culture; particularly remix culture."
2269,Kirk Citron,"Kreyson is a Czech metal band founded in Prague in 1989 by Ladislav Křížek (Vitacit, Citron, Damiens) after leaving the band Citron."
2270,Kirk Sorensen,A molten salt reactor (MSR) is a class of nuclear fission reactor in which the primary nuclear reactor coolant and/or the fuel is a molten salt mixture.
2271,Kirsten Hall,"Kirsten Caroline Dunst (; born April 30, 1982) is an American actress."
2272,Kirsti Abbott,"In physical geography, tundra () is a type of biome where the tree growth is hindered by low temperatures and short growing seasons."
2273,Kirsty Duncan,"Kirsty Ellen Duncan  (born October 31, 1966) is a Canadian politician and medical geographer from Ontario, Canada."
2274,Kishore Mahbubani,"Kishore Mahbubani (born 24 October 1948) is a Singaporean civil servant, a career diplomat and an academic."
2275,Kitra Cahana,"Luigino Celestino di Agostino (Italian pronunciation: [lu.iˈdʒiːno tʃeleˈstiːno di aɡoˈstiːno]; born 17 December 1967), known professionally as Gigi D'Agostino (pronounced [ˈdʒiːdʒi daɡoˈstiːno]), is an Italian DJ, remixer, singer and record producer."
2276,Klaus Stadlmann,
2277,Kluane Adamek,The Senate committee on Aboriginal Peoples has a history of hearing from the Indigenous youth of Canada.
2278,Knut Haanaes,"Janmejaya Kumar Sinha (born September 12, 1959) is the present chairman of Boston Consulting Group (BCG) India, a BCG fellow and a member of the Henderson Institute Innovation Sounding Board."
2279,Knut Ivar Bjørlykhaug,
2280,Kola Masha,
2281,Kostas Karpouzis,"SCP-ECG, which stands for Standard communications protocol for computer assisted electrocardiography, is a standard for ECG traces, annotations, and metadata, that specifies the interchange format and a messaging procedure for ECG cart-to-host communication and for retrieval of SCP-ECG records from the host to the ECG cart."
2282,Kotchakorn Voraakhom,"Kotchakorn Voraakhom (Thai: กชกร วรอาคม, born 1981) is a Thai landscape architect and chief executive officer of Porous City Network, a social enterprise that looks to increase urban resilience in Southeast Asia."
2283,Krishna Sudhir,Bhagwandas Moolchand Luthria (1944 – 12 May 2014) aka Sudhir (Hindi: सुधीर) was a Bollywood film actor.
2284,Krista Donaldson,Krista M. Donaldson  (born 1973) is a Canadian–American engineer.
2285,Krista Tippett,"Krista Tippett (née Weedman, born November 9, 1960) is an American journalist, author, and entrepreneur."
2286,Kristalina Georgieva,Kristalina Ivanova Georgieva-Kinova (Bulgarian: Кристалина Иванова Георгиева-Кинова; born 13 August 1953) is a Bulgarian economist serving as chair and managing director of the International Monetary Fund since 2019.
2287,Kristen Ashburn,Kristen Ashburn (born 1973) is an American photojournalist.
2288,Kristen Bell + Giant Ant,This is the list of episodes (Seasons 1–20) for the Food Network competition reality series Chopped.
2289,Kristen Marhaver,"Kristen Marhaver (born 1982) is a marine biologist studying coral reefs and specializing in coral ecology, reproduction, and conservation."
2290,Kristen Wenz,"The Ritz Theater is located in the city of Newburgh, New York."
2291,Kristi Rogers,"Kristina ""Kristi"" Curry Rogers (born June 20, 1974) is an American vertebrate paleontologist and a professor in Biology and Geology at Macalester College."
2292,Kristie Ebi,Kristie L. Ebi is an American epidemiologist whose primary focus is the impact of global warming on human health.
2293,Kristie Overstreet,"""Bacon"" is a song recorded by American singer Nick Jonas, featuring guest vocals from singer Ty Dolla $ign."
2294,Kristiina J. Hurme and Alejandro Rico-Guevara,
2295,Kristin Jones,"Kristin Jones (born August 1, 1956 in Washington, D.C.) is an American artist."
2296,Kristin Poinar,Marine ice sheet instability (MISI) describes the potential for ice sheets grounded below sea level to destabilize in a runaway fashion.
2297,Kristina Gjerde,Kristina Maria Gjerde is a High Seas Policy Advisor for the International Union for Conservation of Nature Global Marine and Polar Program.
2298,Kristine Tompkins,"Kristine McDivitt Tompkins (born in 1950) is the president and co-founder of Tompkins Conservation, an American conservationist, and former CEO of Patagonia, Inc.."
2299,Kriti Sharma,"Kriti Sharma (born April 1988) is an artificial intelligence technologist, business executive and humanitarian."
2300,Krystian Aparta,"In Cognitive Linguistics, conceptual blending, also called conceptual integration or view application, is a theory of cognition developed by Gilles Fauconnier and Mark Turner."
2301,Kwabena Boahen,Kwabena Adu Boahen is a Professor of Bioengineering and Electrical Engineering at Stanford University.
2302,Kwame Anthony Appiah,"Kwame Akroma-Ampim Kusi Anthony Appiah ( AP-ee-ah; born 8 May 1954) is a British-Ghanaian philosopher, cultural theorist, and novelist whose interests include political and moral theory, the philosophy of language and mind, and African intellectual history."
2303,Kwame Owusu-Kesse,This is a list of notable past and present musicians in Ghana.
2304,Kyle Quinn,
2305,Kym Worthy,"Kym Loren Worthy (born December 5, 1956) is the current prosecutor of Wayne County, Michigan, home to the city of Detroit."
2306,Kyra Gaunt,"Kyra Danielle Gaunt is an American ethnomusicologist, social media researcher, social justice activist, and professor at the University of Albany."
2307,LADAMA,
2308,LB Hannahs,"Gerald Ellis ""Dusty"" Hannahs III (born September 2, 1993) is an American professional basketball player for the Santa Cruz Warriors of the NBA G League."
2309,LZ Granderson,"Elzie Lee ""LZ"" Granderson (born March 11, 1972) is an American journalist and former actor."
2310,LaToya Ruby Frazier,LaToya Ruby Frazier (born 1982) is an American artist and professor of photography at the School of the Art Institute of Chicago.
2311,Lakshmi Pratury,"Lakshmi Pratury is an entrepreneur, curator, speaker, and self-described ""people collector""."
2312,Lalitesh Katragadda,Google Map Maker was a map editing service launched by Google in June 2008.
2313,Lana Mazahreh,
2314,Lana Yarosh,"Crash Course (sometimes stylized as CrashCourse) is an educational YouTube channel started by John and Hank Green (collectively the Green brothers), who first achieved notability on the YouTube platform through their VlogBrothers channel.Crash Course was one of the hundred initial channels funded by YouTube's $100 million original channel initiative."
2315,Laolu Senbanjo,"Laolu (Olaolu) Senbanjo, also known as ""Laolu NYC"", is a Nigerian visual artist, musician, singer/songwriter, and former human rights attorney."
2316,Lara Durgavich,
2317,Lara Maiklem,"Lara Maiklem (born 1971) is a British author, editor and publishing consultant, known for her writing and speaking on mudlarking (scavenging on the foreshore for objects of historic interest)."
2318,Lara Setrakian,"Lara Setrakian (born on February 4, 1982 in United States) is an Armenian American journalist, digital strategist and entrepreneur."
2319,Larry Brilliant,"Lawrence ""Larry""  Brilliant (born May 5, 1944) is an American epidemiologist, technologist, philanthropist, and author, who worked with the World Health Organization from 1973-1976 helping to successfully eradicate smallpox."
2320,Larry Burns,"""Burns, Baby Burns"" is the fourth episode of The Simpsons' eighth season."
2321,Larry Lagerstrom,"In the fields of information technology and systems management, application performance management (APM) is the monitoring and management of performance and availability of software applications."
2322,Larry Page,"Lawrence Edward Page (born March 26, 1973) is an American business magnate, computer scientist and Internet entrepreneur."
2323,Larry Smith,"Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine."
2324,Lars Brownworth,Lars Mehrling Brownworth (born c.
2325,Lars Fæste,This article stated the results of the European Soling Championships from 1980 till 1989.
2326,Lars Jönsson,
2327,Latif Nasser,
2328,Laura Bates,Laura Bates  (born 1986) is an English feminist writer.
2329,Laura Boushnak,"Laura Boushnak (Arabic: لورا بشناق‎; born 1976) is a  Kuwaiti-born Palestinian photographer whose work is focused on women, literacy, and education reform in the Arab world."
2330,Laura Boykin,Laura Boykin is an American computational biologist who uses supercomputing and genomics to help farmers in Sub-Saharan Africa.
2331,Laura Carstensen,Laura L. Carstensen is the Fairleigh S. Dickinson Jr.
2332,Laura Fox,
2333,Laura Galante,"Fancy Bear (also known as APT28 (by Mandiant), Pawn Storm, Sofacy Group (by Kaspersky), Sednit, Tsar Team (by FireEye) and STRONTIUM (by Microsoft)) is a Russian cyber espionage group."
2334,Laura Indolfi,"A teratoma is a tumor made up of several different types of tissue, such as hair, muscle, teeth, or bone."
